2023/11/06 19:05:49 Micro started
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
2023/11/06 19:06:06 drone2.py drone2.py
