2023/11/16 16:59:38 Micro started
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
2023/11/16 17:00:03 realdrone3.py realdrone3.py
